00.000,31.566,58.548,74.921,84.827,90.820,94.446,96.640,97.967,98.770,99.256,99.550,99.728,99.835
00.000,31.492,58.548,74.921,84.827,90.820,94.446,96.640,97.967,98.770,99.256,99.550,99.728,99.835
00.000,12.521,58.548,74.921,84.827,90.820,94.446,96.640,97.967,98.770,99.256,99.550,99.728,99.835
00.000,10.035,57.248,73.621,83.527,89.520,93.146,95.340,96.667,97.470,97.956,98.250,98.428,98.535
00.000,05.176,55.959,72.333,82.239,88.232,91.858,94.051,95.378,96.181,96.667,96.961,97.139,97.247
00.000,04.338,54.634,71.053,80.960,86.953,90.579,92.773,94.100,94.903,95.389,95.683,95.861,95.968
00.000,02.249,53.244,69.778,79.693,85.686,89.312,91.506,92.833,93.636,94.122,94.416,94.594,94.701
00.000,01.951,51.864,68.510,78.438,84.431,88.057,90.251,91.578,92.381,92.867,93.161,93.338,93.446
00.000,01.423,50.504,67.252,77.195,83.189,86.814,89.008,90.335,91.138,91.624,91.918,92.096,92.203
00.000,-01.27,49.163,66.005,75.966,81.959,85.585,87.779,89.106,89.909,90.395,90.688,90.866,90.974
00.000,-01.56,47.852,64.772,74.750,80.743,84.369,86.563,87.890,88.693,89.179,89.473,89.650,89.758
00.000,-01.59,41.901,63.553,73.548,79.541,83.168,85.361,86.688,87.491,87.977,88.271,88.449,88.556
00.000,-01.59,-02.53,62.350,72.361,78.354,81.981,84.175,85.502,86.305,86.790,87.084,87.262,87.370
00.000,-01.58,-02.53,09.033,71.189,77.183,80.811,83.004,84.331,85.134,85.620,85.914,86.091,86.199
00.000,-01.58,-02.53,-01.78,70.035,76.029,79.657,81.850,83.177,83.980,84.465,84.759,84.937,85.045
00.000,-01.58,-02.53,-02.97,68.895,74.889,78.517,80.711,82.038,82.840,83.326,83.620,83.798,83.905
00.000,-01.58,-02.53,-03.11,67.763,73.764,77.392,79.586,80.913,81.715,82.201,82.495,82.673,82.780
00.000,-01.58,-02.53,-03.11,66.640,72.652,76.281,78.474,79.801,80.604,81.090,81.383,81.561,81.669
00.000,27.687,58.548,74.921,84.827,90.820,94.446,96.640,97.967,98.770,99.256,99.550,99.728,99.835
00.000,27.013,58.548,74.921,84.827,90.820,94.446,96.640,97.967,98.770,99.256,99.550,99.728,99.835
00.000,25.464,58.548,74.921,84.827,90.820,94.446,96.640,97.967,98.770,99.256,99.550,99.728,99.835
00.000,10.739,57.222,73.595,83.501,89.494,93.120,95.314,96.641,97.444,97.930,98.224,98.402,98.509
00.000,04.967,55.889,72.265,82.173,88.166,91.792,93.985,95.312,96.115,96.601,96.895,97.073,97.180
00.000,-00.11,54.144,70.930,80.848,86.841,90.467,92.661,93.988,94.791,95.277,95.571,95.749,95.856
00.000,01.749,52.090,69.564,79.543,85.536,89.162,91.355,92.683,93.485,93.971,94.265,94.443,94.551
00.000,01.295,50.661,68.223,78.256,84.249,87.875,90.069,91.396,92.199,92.685,92.979,93.157,93.264
00.000,-01.29,49.312,66.916,76.989,82.982,86.608,88.802,90.129,90.932,91.417,91.711,91.889,91.997
00.000,-01.56,47.996,65.638,75.740,81.733,85.360,87.553,88.880,89.683,90.169,90.463,90.641,90.748
00.000,-01.59,46.781,64.387,74.509,80.503,84.130,86.324,87.651,88.453,88.939,89.233,89.411,89.518
00.000,-01.59,02.687,63.159,73.296,79.290,82.919,85.112,86.439,87.242,87.728,88.021,88.199,88.307
00.000,-01.59,-02.53,61.963,72.110,78.105,81.735,83.928,85.255,86.058,86.543,86.837,87.015,87.123
00.000,-01.58,-02.53,03.937,70.948,76.944,80.575,82.768,84.094,84.897,85.382,85.676,85.854,85.962
00.000,-01.58,-02.53,-02.96,69.808,75.804,79.435,81.628,82.954,83.757,84.242,84.536,84.714,84.822
00.000,-01.58,-02.53,-03.09,68.672,74.669,78.300,80.493,81.820,82.622,83.108,83.402,83.579,83.687
00.000,-01.58,-02.53,-03.11,67.487,73.543,77.175,79.368,80.694,81.497,81.982,82.276,82.454,82.561
00.000,-01.58,-02.53,-03.11,66.330,72.430,76.062,78.254,79.581,80.383,80.869,81.162,81.340,81.448
00.000,27.183,58.548,74.921,84.827,90.820,94.446,96.640,97.967,98.770,99.256,99.550,99.728,99.835
00.000,26.521,58.548,74.921,84.827,90.820,94.446,96.640,97.967,98.770,99.256,99.550,99.728,99.835
00.000,20.966,58.548,74.921,84.827,90.820,94.446,96.640,97.967,98.770,99.256,99.550,99.728,99.835
00.000,09.643,56.953,73.330,83.237,89.230,92.856,95.050,96.377,97.180,97.666,97.960,98.138,98.245
00.000,-07.31,55.391,71.796,81.714,87.707,91.333,93.527,94.854,95.657,96.143,96.437,96.614,96.722
00.000,-00.83,49.754,70.224,80.245,86.238,89.864,92.058,93.385,94.188,94.674,94.967,95.145,95.253
00.000,01.022,50.622,68.392,78.919,84.912,88.538,90.731,92.058,92.861,93.347,93.641,93.819,93.927
00.000,-01.51,49.445,67.028,77.624,83.617,87.244,89.437,90.764,91.567,92.053,92.347,92.525,92.632
00.000,-01.67,48.129,65.820,76.355,82.348,85.977,88.170,89.497,90.300,90.785,91.079,91.257,91.365
00.000,-01.57,46.809,64.620,75.109,81.104,84.736,86.928,88.255,89.057,89.543,89.837,90.015,90.122
00.000,-01.59,45.304,63.432,73.884,79.882,83.519,85.710,87.036,87.838,88.324,88.618,88.795,88.903
00.000,-01.59,06.257,62.256,72.677,78.681,82.324,84.514,85.839,86.641,87.126,87.420,87.598,87.705
00.000,-01.59,-02.53,61.210,71.595,77.598,81.239,83.430,84.756,85.557,86.043,86.336,86.514,86.622
